USER_ID,AGE_T,REGION_T,SEX_T,RELATIONSHIP_T
1488844,4,0,1,3
822109,1,2,1,0
885013,3,0,0,0
30878,2,0,0,1
823519,0,1,1,0
893988,2,0,0,2
124105,2,2,0,1
1248029,1,1,0,0
1842128,2,2,1,3
2238063,4,2,0,2
1503895,3,1,1,3
2207774,3,1,0,3
2590061,3,1,0,2
2442,2,0,0,1
543865,2,0,0,3
1209119,4,0,1,3
804919,2,1,0,0
1086807,4,2,0,2
1711859,0,0,1,1
372233,2,0,1,2
1080361,2,0,1,2
1245640,2,1,0,0
558634,2,1,0,0
2165002,3,2,1,0
1181550,1,2,0,3
1227322,0,0,0,1
427928,0,2,0,1
814701,1,0,1,1
808731,1,0,0,3
662870,3,2,0,2
337541,3,1,0,1
786312,3,0,0,3
1133214,3,2,1,2
1537427,1,0,0,2
1209954,2,1,1,3
2381599,1,3,1,2
525356,0,1,0,3
1910569,4,0,1,3
2263586,1,2,0,0
2421815,3,1,1,2
1009622,4,1,1,2
1481961,4,1,1,0
401047,2,0,1,2
2179073,0,2,1,1
1434636,4,0,0,3
93986,2,0,0,1
1308744,2,0,1,1
2647871,3,2,0,0
1905581,0,3,0,1
2508819,3,1,0,3
1578279,4,1,0,1
1159695,0,0,0,1
2588432,3,0,0,3
2423091,1,2,0,2
470232,4,0,1,3
2148699,1,0,0,0
1342007,2,2,1,0
466135,3,3,0,3
2472440,1,1,1,0
1283744,0,3,1,1
1927580,4,1,1,0
716874,1,0,1,0
4326,0,1,1,3
1546549,1,0,0,1
1493697,1,0,1,1
880166,0,0,0,2
535396,2,0,0,0
494609,4,3,0,0
1961619,1,0,0,0
883478,1,1,0,0
793564,4,1,1,1
1567202,3,1,0,3
573537,2,1,1,1
1972040,1,2,0,1
1838912,2,0,0,0
411705,3,0,1,2
2244518,1,0,0,1
584542,0,0,0,0
667730,4,0,1,3
2488120,3,1,0,2
1926776,3,2,0,3
38052,4,1,0,2
1196100,4,0,0,0
314933,4,1,0,0
1792741,2,2,0,2
769643,0,2,1,1
2477242,4,1,1,0
1421006,4,3,1,2
729846,1,0,0,2
1719610,1,1,1,1
1696031,4,1,1,0
1817215,3,1,1,2
406057,0,3,0,0
636262,2,1,1,0
1245406,3,3,1,3
1834590,2,0,0,2
593225,0,0,0,1
1011918,1,0,1,0
1665054,3,1,1,0
2630337,3,1,1,1
1155747,2,0,0,1
2439493,3,0,1,2
479924,2,3,1,0
530789,0,2,1,0
765860,3,0,0,0
231001,3,0,1,1
1493615,2,1,0,2
1850615,1,1,0,1
68959,2,0,1,0
147386,3,1,0,3
624035,0,0,1,2
782308,2,0,0,0
1116080,0,0,0,3
421374,1,1,1,0
1158759,1,1,1,3
1025798,2,0,1,1
1215397,3,0,1,0
2475251,1,3,1,1
321111,3,1,1,1
2162676,3,1,1,2
2635437,4,1,1,3
2389367,4,2,0,3
485622,1,0,1,2
235553,0,1,2,1
831869,2,1,0,3
99400,4,1,0,3
684876,4,3,0,1
1871179,1,1,1,3
1107678,1,0,0,3
642036,4,2,1,0
700890,1,0,1,1
2289956,3,1,0,1
2040859,2,0,0,0
1524964,4,1,1,0
121318,3,3,1,2
317050,1,0,1,1
2287003,2,0,0,2
59052,4,1,0,2
893742,3,0,1,1
1346257,0,2,1,3
55016,4,3,0,1
30245,0,2,0,3
743633,1,1,1,1
1596531,1,3,0,0
1125499,2,0,0,3
706832,1,2,0,3
2465337,2,2,1,0
2291422,2,1,0,3
1777406,0,1,1,3
1904905,3,0,0,3
2450433,4,1,0,0
1348967,1,0,1,0
638020,1,0,1,3
2217779,4,1,1,3
194280,2,1,1,1
493009,2,0,0,3
1567167,2,0,0,1
850327,3,0,0,1
520386,3,0,1,2
320540,1,0,0,0
1188228,0,0,0,2
57961,4,0,0,3
1113230,1,1,0,3
1374216,1,3,0,0
595778,4,0,0,3
209573,1,3,0,1
2354601,0,1,1,1
2563596,2,2,0,1
835265,1,0,1,0
1819474,2,1,1,0
1447104,0,0,0,2
1100940,1,1,0,0
143274,0,1,0,0
2329565,2,3,0,2
181592,4,0,1,3
936396,2,2,1,0
1125797,2,1,1,3
2283366,3,2,1,0
514495,1,1,0,0
1772176,2,2,0,2
1877347,3,3,0,2
1287892,3,0,1,1
255443,1,1,0,3
890669,2,0,0,0
1989766,2,2,0,0
2315073,3,1,0,0
14756,1,1,0,2
907623,3,3,1,1
991423,3,1,1,3
1604238,1,0,1,2
1027056,0,1,2,0
2025883,0,1,0,3
732936,2,1,1,2
563962,4,0,1,3
799442,1,1,1,3
352635,0,0,0,1
2537543,0,1,0,0
1564395,2,0,1,0
1655178,4,3,0,2
573434,3,2,0,3
1141189,1,1,0,3
383247,0,1,0,1
1763921,2,0,0,3
1943970,4,1,1,3
322009,2,3,0,1
2333817,4,2,1,3
2095681,3,0,1,0
1149588,2,1,0,0
2354740,1,0,0,2
2421360,4,1,1,2
496087,3,3,0,1
2191781,3,0,1,1
1694083,3,0,1,2
818416,3,1,1,2
701960,1,3,1,1
2090477,1,0,1,0
1664010,3,0,0,1
2583822,0,0,0,3
369646,3,0,1,0
2234063,1,0,0,2
259799,2,0,1,0
1077982,2,0,0,0
2631796,3,2,0,3
1122383,4,3,1,3
1508526,3,1,0,0
1600207,2,0,0,2
1283117,3,3,1,1
1727869,4,2,1,1
1522799,2,2,0,0
1394012,1,0,0,2
1558286,2,0,1,3
1155602,3,1,1,1
361066,2,2,1,3
1743210,0,1,0,2
1148389,1,1,0,0
2268101,2,1,1,3
519684,3,0,0,1
767518,1,1,1,0
122197,2,0,0,3
